date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-05-13,35,29,0.0,12.1,7,2,03:25 AM,04:02 PM,04:57 AM,06:08 PM,24,37,37,31,16,58,67,9.4,1007,35,9,175,13,Kolkata
2018-05-14,37,29,0.0,13.5,7,0,04:06 AM,05:01 PM,04:57 AM,06:09 PM,21,37,37,33,9,21,54,4.1,1007,37,10,245,7,Kolkata
2018-05-15,38,29,0.0,13.5,7,0,04:50 AM,06:03 PM,04:56 AM,06:09 PM,22,37,37,32,18,11,58,0.2,1006,38,10,193,15,Kolkata
2018-05-16,35,28,0.0,13.5,7,5,05:39 AM,07:07 PM,04:56 AM,06:10 PM,24,36,36,31,22,22,67,2.7,1005,35,10,178,17,Kolkata
2018-05-17,36,29,0.0,12.1,7,12,06:32 AM,08:11 PM,04:56 AM,06:10 PM,24,37,37,31,11,43,67,5.6,1005,36,10,167,9,Kolkata
2018-05-18,38,28,0.0,13.6,7,19,07:30 AM,09:14 PM,04:55 AM,06:11 PM,24,38,38,32,18,31,66,7.2,1003,38,10,185,14,Kolkata
2018-05-19,39,28,0.0,13.6,7,27,08:30 AM,10:13 PM,04:55 AM,06:11 PM,23,38,38,33,19,24,62,0.0,1004,39,10,191,15,Kolkata
2018-05-20,38,28,0.0,13.6,7,34,09:34 AM,11:07 PM,04:54 AM,06:12 PM,24,39,39,32,24,28,64,4.9,1004,38,9,191,19,Kolkata
2018-05-21,39,29,0.0,13.6,7,41,10:36 AM,11:57 PM,04:54 AM,06:12 PM,24,39,39,33,20,21,63,1.0,1005,39,10,186,16,Kolkata
2018-05-22,37,29,0.0,13.6,7,48,11:37 AM,No moonset,04:54 AM,06:13 PM,25,38,38,32,24,41,69,7.6,1005,37,10,184,18,Kolkata
