date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-10-17,35,26,0.0,8.7,8,0,06:45 AM,06:36 PM,06:27 AM,05:56 PM,5,28,28,30,19,9,21,0.0,1007,35,10,72,11,Jaipur
2020-10-18,35,26,0.0,8.7,8,5,07:54 AM,07:20 PM,06:28 AM,05:55 PM,10,30,30,30,11,19,29,0.0,1008,35,10,105,7,Jaipur
2020-10-19,34,27,0.0,8.7,8,13,09:03 AM,08:07 PM,06:28 AM,05:54 PM,9,29,29,30,18,22,28,0.0,1008,34,10,154,11,Jaipur
2020-10-20,35,24,0.0,8.7,8,20,10:11 AM,08:59 PM,06:29 AM,05:54 PM,4,28,28,29,13,11,20,0.0,1007,35,10,109,8,Jaipur
2020-10-21,33,24,0.0,8.7,7,27,11:17 AM,09:55 PM,06:30 AM,05:53 PM,8,28,28,29,12,17,29,0.0,1008,33,10,206,7,Jaipur
2020-10-22,34,25,0.0,8.7,8,35,12:17 PM,10:53 PM,06:30 AM,05:52 PM,6,29,29,29,16,4,25,0.0,1007,34,10,215,9,Jaipur
2020-10-23,35,24,0.0,8.7,8,42,01:11 PM,11:52 PM,06:31 AM,05:51 PM,-1,28,28,29,14,0,15,0.0,1007,35,10,246,9,Jaipur
2020-10-24,35,23,0.0,8.7,8,49,01:58 PM,No moonset,06:31 AM,05:50 PM,3,28,28,29,5,0,21,0.0,1008,35,10,212,3,Jaipur
2020-10-25,33,24,0.0,8.7,7,56,02:39 PM,12:50 AM,06:32 AM,05:49 PM,2,27,27,28,14,2,19,0.0,1011,33,10,134,8,Jaipur
2020-10-26,34,23,0.0,8.7,8,64,03:15 PM,01:47 AM,06:33 AM,05:48 PM,0,28,28,28,12,3,17,0.0,1012,34,10,213,7,Jaipur
2020-10-27,33,22,0.0,8.7,7,71,03:48 PM,02:41 AM,06:33 AM,05:48 PM,-5,25,25,27,19,0,12,0.0,1011,33,10,316,11,Jaipur
2020-10-28,33,22,0.0,8.7,7,78,04:18 PM,03:34 AM,06:34 AM,05:47 PM,-1,26,26,27,10,0,16,0.0,1012,33,10,118,6,Jaipur
2020-10-29,33,21,0.0,8.7,7,85,04:48 PM,04:25 AM,06:34 AM,05:46 PM,-2,25,25,27,7,0,16,0.0,1013,33,10,144,4,Jaipur
2020-10-30,31,21,0.0,8.7,7,93,05:19 PM,05:16 AM,06:35 AM,05:45 PM,-1,25,25,26,12,0,18,0.0,1014,31,10,70,8,Jaipur
2020-10-31,31,21,0.0,8.7,7,97,05:49 PM,06:07 AM,06:36 AM,05:45 PM,-4,24,24,25,20,0,15,0.0,1014,31,10,310,12,Jaipur
2020-11-01,31,20,0.0,8.7,7,89,06:22 PM,07:00 AM,06:36 AM,05:44 PM,-6,24,24,25,18,0,13,0.0,1014,31,10,335,11,Jaipur
2020-11-02,31,20,0.0,8.7,7,81,06:58 PM,07:53 AM,06:37 AM,05:43 PM,-7,24,24,25,15,0,12,0.0,1014,31,10,304,9,Jaipur
2020-11-03,30,19,0.0,8.7,7,74,07:38 PM,08:47 AM,06:38 AM,05:43 PM,-7,23,23,24,17,0,13,0.0,1014,30,10,286,10,Jaipur
2020-11-04,31,19,0.0,8.7,7,66,08:22 PM,09:42 AM,06:39 AM,05:42 PM,-7,23,23,24,20,0,13,0.0,1013,31,10,303,12,Jaipur
2020-11-05,32,19,0.0,8.7,7,58,09:12 PM,10:36 AM,06:39 AM,05:41 PM,-4,24,24,25,7,0,15,0.0,1014,32,10,164,4,Jaipur
2020-11-06,33,20,0.0,8.7,7,51,10:06 PM,11:30 AM,06:40 AM,05:41 PM,0,25,25,26,10,0,19,0.0,1016,33,10,254,6,Jaipur
2020-11-07,33,20,0.0,8.7,7,43,11:05 PM,12:20 PM,06:41 AM,05:40 PM,-1,25,25,26,9,0,19,0.0,1017,33,10,314,5,Jaipur
2020-11-08,32,20,0.0,8.7,7,36,No moonrise,01:07 PM,06:41 AM,05:39 PM,-1,25,25,26,4,0,18,0.0,1017,32,10,256,3,Jaipur
2020-11-09,32,20,0.0,8.7,7,28,12:05 AM,01:50 PM,06:42 AM,05:39 PM,-1,24,24,25,7,0,19,0.0,1016,32,10,198,4,Jaipur
2020-11-10,30,19,0.0,8.7,7,21,01:08 AM,02:30 PM,06:43 AM,05:38 PM,-1,23,23,24,15,0,19,0.0,1014,30,10,110,8,Jaipur
2020-11-11,28,18,0.0,8.7,6,13,02:11 AM,03:09 PM,06:43 AM,05:38 PM,2,22,22,23,14,0,26,0.0,1016,28,10,89,9,Jaipur
2020-11-12,29,18,0.0,8.7,7,6,03:15 AM,03:47 PM,06:44 AM,05:37 PM,4,23,23,23,12,1,29,0.0,1018,29,10,88,7,Jaipur
2020-11-13,30,19,0.0,8.7,7,0,04:21 AM,04:26 PM,06:45 AM,05:37 PM,5,23,23,24,8,1,30,0.0,1017,30,10,112,4,Jaipur
2020-11-14,29,19,0.0,8.7,7,0,05:28 AM,05:07 PM,06:46 AM,05:37 PM,4,23,23,23,12,3,29,0.0,1014,29,10,111,7,Jaipur
2020-11-15,29,21,0.0,5.6,6,0,06:37 AM,05:53 PM,06:46 AM,05:36 PM,11,25,25,24,24,62,44,1.2,1013,29,10,133,15,Jaipur
2020-11-16,29,19,0.0,8.7,6,2,07:48 AM,06:43 PM,06:47 AM,05:36 PM,11,23,23,23,16,13,53,0.6,1014,29,10,193,9,Jaipur
2020-11-17,28,19,0.0,8.7,6,9,08:57 AM,07:39 PM,06:48 AM,05:35 PM,12,23,23,23,20,9,52,0.0,1014,28,10,73,12,Jaipur
2020-11-18,26,18,0.0,8.7,6,17,10:02 AM,08:38 PM,06:49 AM,05:35 PM,5,22,22,21,18,14,35,0.0,1013,26,10,63,11,Jaipur
2020-11-19,26,17,0.0,8.7,6,24,11:01 AM,09:40 PM,06:50 AM,05:35 PM,5,21,21,21,17,8,35,0.0,1014,26,10,62,10,Jaipur
2020-11-20,26,17,0.0,8.7,6,32,11:53 AM,10:40 PM,06:50 AM,05:35 PM,-1,20,20,21,16,5,24,0.0,1016,26,10,99,9,Jaipur
2020-11-21,25,16,0.0,8.7,6,39,12:37 PM,11:39 PM,06:51 AM,05:34 PM,-4,19,19,19,18,0,21,0.0,1016,25,10,297,10,Jaipur
2020-11-22,26,15,0.0,8.7,6,47,01:16 PM,No moonset,06:52 AM,05:34 PM,-2,20,20,20,9,1,23,0.0,1017,26,10,135,5,Jaipur
2020-11-23,25,15,0.0,8.7,6,54,01:50 PM,12:35 AM,06:53 AM,05:34 PM,-1,20,19,20,12,0,26,0.0,1016,25,10,119,7,Jaipur
2020-11-24,24,14,0.0,5.6,5,62,02:21 PM,01:29 AM,06:53 AM,05:34 PM,-0,19,19,19,18,52,29,0.0,1016,24,10,109,10,Jaipur
2020-11-25,25,15,0.0,8.7,6,70,02:51 PM,02:20 AM,06:54 AM,05:34 PM,0,19,19,19,26,3,28,0.0,1016,25,10,80,15,Jaipur
2020-11-26,24,15,0.0,8.7,6,77,03:21 PM,03:12 AM,06:55 AM,05:33 PM,3,19,19,19,29,17,35,0.0,1019,24,10,45,17,Jaipur
2020-11-27,25,15,0.0,8.7,6,85,03:51 PM,04:02 AM,06:56 AM,05:33 PM,2,19,19,19,25,0,33,0.0,1021,25,10,195,14,Jaipur
2020-11-28,26,15,0.0,8.7,6,92,04:23 PM,04:54 AM,06:56 AM,05:33 PM,0,19,19,19,18,1,29,0.0,1020,26,10,279,10,Jaipur
2020-11-29,28,15,0.0,8.7,6,100,04:58 PM,05:47 AM,06:57 AM,05:33 PM,2,21,21,21,5,0,31,0.0,1018,28,10,156,3,Jaipur
